area_type,location,total_sqft,bath,BHK,balcony,PRICE rs
Super built-up  Area,Vittasandra,1404,2,2,2,"₹ 7,000,000.00"
Super built-up  Area,Electronic City Phase II,1192,2,3,3,"₹ 4,700,000.00"
Plot  Area,Wilson Garden,1850,12,8,0,"₹ 30,000,000.00"
Plot  Area,Mahalakshmi Layout,1050,1,4,0,"₹ 3,500,000.00"
Super built-up  Area,Vittasandra,1259,2,2,1,"₹ 6,748,000.00"
Super built-up  Area,Kengeri,1000,2,2,2,"₹ 3,400,000.00"
Super built-up  Area,Rachenahalli,985,2,2,1,"₹ 4,997,000.00"
Built-up  Area,Indira Nagar,850,1,1,2,"₹ 6,000,000.00"
Built-up  Area,Uttarahalli,1650,2,3,1,"₹ 5,000,000.00"
Plot  Area,Rajaji Nagar,2400,3,5,1,"₹ 32,000,000.00"
Super built-up  Area,Sarjapur  Road,1900,4,3,1,"₹ 18,000,000.00"
Super built-up  Area,Ambedkar Nagar,1367,2,2,2,"₹ 8,600,000.00"
Super built-up  Area,Rajaji Nagar,1210,2,3,2,"₹ 8,100,000.00"
Super built-up  Area,Duvasapalya,1190,2,2,1,"₹ 4,860,000.00"
Super built-up  Area,Sarjapur,1175,2,2,2,"₹ 4,200,000.00"
Super built-up  Area,R.T. Nagar,2800,4,4,0,"₹ 40,000,000.00"
Super built-up  Area,Whitefield,1140,2,2,2,"₹ 4,000,000.00"
Super built-up  Area,Hoskote,1095,2,2,2,"₹ 3,360,000.00"
Super built-up  Area,Attibele,782,1,1,0,"₹ 1,955,000.00"
Super built-up  Area,Gubbalala,1435,2,3,2,"₹ 8,000,000.00"
Super built-up  Area,Choodasandra,725,2,2,2,"₹ 3,600,000.00"
Built-up  Area,BCMC Layout,1600,2,3,2,"₹ 8,800,000.00"
Plot  Area,9th Phase JP Nagar,1200,5,5,0,"₹ 16,000,000.00"
Super built-up  Area,Hosakerehalli,3205,4,4,2,"₹ 30,000,000.00"
Plot  Area,Vishwapriya Layout,720,3,4,1,"₹ 9,500,000.00"
Super built-up  Area,Nehru Nagar,1674,3,3,0,"₹ 9,000,000.00"
Plot  Area,Jnanabharathi Layout,860,4,4,2,"₹ 12,500,000.00"
Super built-up  Area,Haralur Road,1243,2,2,2,"₹ 4,600,000.00"
Super built-up  Area,Kanakpura Road,1703,3,3,2,"₹ 13,000,000.00"
Super built-up  Area,Padmanabhanagar,1350,3,3,1,"₹ 7,155,000.00"
Super built-up  Area,Horamavu Agara,1145,2,2,1,"₹ 4,121,000.00"
Super built-up  Area,Whitefield,1216,2,2,1,"₹ 7,500,000.00"
Super built-up  Area,7th Phase JP Nagar,1100,3,2,1,"₹ 6,000,000.00"
Super built-up  Area,Sarjapur  Road,2425,5,4,1,"₹ 20,100,000.00"
Plot  Area,Kothanur,2700,4,4,2,"₹ 17,500,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1196,2,2,2,"₹ 4,054,000.00"
Carpet  Area,Kanakpura Road,1600,3,3,3,"₹ 9,000,000.00"
Super built-up  Area,Banashankari Stage V,1510,3,3,3,"₹ 4,757,000.00"
Super built-up  Area,Hosakerehalli,3033,4,4,1,"₹ 32,600,000.00"
Plot  Area,Pai Layout,780,2,2,1,"₹ 7,200,000.00"
Super built-up  Area,Haralur Road,1194,2,2,2,"₹ 4,700,000.00"
Built-up  Area,Banashankari Stage II,1250,2,2,2,"₹ 11,000,000.00"
Plot  Area,Sarjapur  Road,1480,4,5,1,"₹ 16,900,000.00"
Plot  Area,Horamavu Agara,1250,4,4,1,"₹ 10,000,000.00"
Plot  Area,Udaya Nagar,1350,4,4,2,"₹ 16,000,000.00"
Built-up  Area,Laggere,620,2,1,0,"₹ 4,800,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1630,3,3,2,"₹ 6,065,000.00"
Built-up  Area,Hennur Road,1020,2,2,0,"₹ 4,500,000.00"
Super built-up  Area,Hosakerehalli,1410,2,3,2,"₹ 5,358,000.00"
Carpet  Area,Bhoganhalli,1181.7,2,2,1,"₹ 10,000,000.00"
Plot  Area,9th Block Jayanagar,1200,8,9,3,"₹ 27,000,000.00"
Super built-up  Area,Sarjapur  Road,1691,3,3,2,"₹ 11,300,000.00"
Built-up  Area,KR Puram,1200,4,4,0,"₹ 8,300,000.00"
Super built-up  Area,Banaswadi,1200,2,2,3,"₹ 6,000,000.00"
Super built-up  Area,Old Airport Road,1050,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Kathriguppe,1300,3,3,2,"₹ 7,799,000.00"
Super built-up  Area,Whitefield,1356,2,2,1,"₹ 9,484,000.00"
Super built-up  Area,Whitefield,1338,2,2,1,"₹ 10,300,000.00"
Super built-up  Area,Kengeri Satellite Town Stage II,500,1,1,1,"₹ 2,000,000.00"
Super built-up  Area,Vasantha Vallabha Nagar,1280,2,3,1,"₹ 10,000,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1531,3,3,3,"₹ 5,177,000.00"
Super built-up  Area,Church Street,11000,4,4,1,"₹ 160,000,000.00"
Built-up  Area,Anekal,620,1,2,1,"₹ 2,350,000.00"
Super built-up  Area,8th Phase JP Nagar,1605,2,3,2,"₹ 6,500,000.00"
Super built-up  Area,Thanisandra,1917,3,3,2,"₹ 11,000,000.00"
Plot  Area,Nagarbhavi,1200,3,4,1,"₹ 34,000,000.00"
Super built-up  Area,Srinivas Colony,2750,3,3,2,"₹ 94,300,000.00"
Built-up  Area,Sarjapur  Road,1400,3,3,2,"₹ 5,500,000.00"
Built-up  Area,Thubarahalli,2625,3,3,3,"₹ 17,500,000.00"
Built-up  Area,Sahakara Nagar,1100,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Hennur Road,2041,3,3,3,"₹ 12,800,000.00"
Super built-up  Area,Sarjapur  Road,2070,4,3,2,"₹ 16,000,000.00"
Super built-up  Area,Hebbal,1110,3,3,3,"₹ 5,900,000.00"
Built-up  Area,Uday Nagar,1650,3,3,1,"₹ 11,000,000.00"
Plot  Area,Ambedkar Nagar,3565,4,4,3,"₹ 25,500,000.00"
Super built-up  Area,Varthur Road,1033,2,3,2,"₹ 3,047,000.00"
Super built-up  Area,HSR Layout,1142,2,2,2,"₹ 6,500,000.00"
Super built-up  Area,Mathikere,1500,2,3,2,"₹ 7,500,000.00"
Super built-up  Area,Electronic City Phase II,1502,3,3,3,"₹ 5,000,000.00"
Super built-up  Area,Shree Ananth Nagar Layout,1176,2,3,1,"₹ 4,500,000.00"
Super built-up  Area,Hosa Road,1063,2,2,1,"₹ 3,280,000.00"
Built-up  Area,Kammanahalli,1100,2,2,1,"₹ 6,000,000.00"
Plot  Area,Kamakshipalya,1044,2,2,2,"₹ 8,500,000.00"
Plot  Area,Sarjapur  Road,5400,3,3,2,"₹ 70,000,000.00"
Built-up  Area,6th Phase JP Nagar,1216,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Suddaguntepalya,1425,3,3,2,"₹ 5,500,000.00"
Plot  Area,Hongasandra,1200,8,8,2,"₹ 15,000,000.00"
Super built-up  Area,Hosur Road,1345,2,2,2,"₹ 10,800,000.00"
Super built-up  Area,Marathahalli,1248,2,2,1,"₹ 13,000,000.00"
Plot  Area,Chaitanya Ananya,1830,4,4,2,"₹ 32,500,000.00"
Built-up  Area,Shankarapuram,900,1,2,0,"₹ 13,000,000.00"
Built-up  Area,Bellandur,3600,4,4,0,"₹ 24,500,000.00"
Super built-up  Area,Uttarahalli,1025,2,2,1,"₹ 3,588,000.00"
Plot  Area,Nagashetty Halli,840,1,2,1,"₹ 9,900,000.00"
Super built-up  Area,Lakshminarayana Pura,3050,2,3,0,"₹ 9,000,000.00"
Super built-up  Area,Kadubeesanahalli,1424,2,3,2,"₹ 7,500,000.00"
Built-up  Area,EPIP Zone,2500,3,3,1,"₹ 26,800,000.00"
Plot  Area,ISRO Layout,1200,6,6,0,"₹ 23,000,000.00"
Super built-up  Area,Byrasandra Extension,1285,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Babusapalaya,1450,2,2,1,"₹ 5,599,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1160,2,2,1,"₹ 7,000,000.00"
Plot  Area,Yelahanka New Town,2700,3,3,0,"₹ 35,000,000.00"
Plot  Area,Gattahalli,2000,2,3,2,"₹ 9,500,000.00"
Super built-up  Area,Uttarahalli,1125,2,2,1,"₹ 4,765,000.00"
Built-up  Area,Old Madras Road,3900,4,4,2,"₹ 17,500,000.00"
Built-up  Area,Raja Rajeshwari Nagar,1133,2,2,1,"₹ 3,837,000.00"
Super built-up  Area,Arekere,1240,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Devanahalli,1466,3,3,3,"₹ 7,759,000.00"
Super built-up  Area,Outer Ring Road East,3870,4,4,2,"₹ 41,100,000.00"
Super built-up  Area,Ramagondanahalli,1610,2,3,2,"₹ 11,500,000.00"
Super built-up  Area,Sarjapur  Road,1220,3,3,2,"₹ 5,600,000.00"
Built-up  Area,Kaggadasapura,1225,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Akshaya Nagar,1300,2,2,1,"₹ 5,400,000.00"
Super built-up  Area,Thanisandra,1996,4,3,1,"₹ 12,300,000.00"
Super built-up  Area,Mallathahalli,1320,2,3,2,"₹ 5,500,000.00"
Super built-up  Area,Rajaji Nagar,1800,3,3,2,"₹ 24,000,000.00"
Super built-up  Area,Richmond Town,1835,3,3,3,"₹ 17,500,000.00"
Super built-up  Area,Sarjapur  Road,1435,3,3,2,"₹ 9,000,000.00"
Super built-up  Area,Whitefield,4097,3,3,0,"₹ 40,000,000.00"
Super built-up  Area,Rayasandra,1601,3,3,3,"₹ 7,000,000.00"
Super built-up  Area,Kadubeesanahalli,1257,2,2,2,"₹ 9,300,000.00"
Super built-up  Area,Iblur Village,3596,5,4,1,"₹ 26,000,000.00"
Super built-up  Area,Kasavanhalli,1309,2,2,2,"₹ 9,500,000.00"
Plot  Area,Yeshwanthpur,1362,2,2,0,"₹ 10,000,000.00"
Super built-up  Area,Whitefield,1115,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Whitefield,1870,3,3,2,"₹ 9,000,000.00"
Super built-up  Area,manyata park,1322,2,2,1,"₹ 6,199,000.00"
Super built-up  Area,Telecom Layout,1450,2,3,1,"₹ 6,500,000.00"
Super built-up  Area,Banashankari,1185,2,2,2,"₹ 6,700,000.00"
Super built-up  Area,7th Phase JP Nagar,1790,3,3,3,"₹ 12,000,000.00"
Plot  Area,Whitefield,3450,4,3,2,"₹ 20,800,000.00"
Super built-up  Area,Rachenahalli,1050,2,2,2,"₹ 5,250,000.00"
Plot  Area,Sarjapur  Road,5400,4,4,2,"₹ 75,000,000.00"
Super built-up  Area,Devanahalli,775,1,1,0,"₹ 3,900,000.00"
Built-up  Area,Hoodi,1000,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Thanisandra,1183,2,2,1,"₹ 7,725,000.00"
Super built-up  Area,Binny Pete,1282,3,3,2,"₹ 17,800,000.00"
Super built-up  Area,Alur,425,1,1,1,"₹ 1,500,000.00"
Built-up  Area,Nelamangala,820,2,2,2,"₹ 3,000,000.00"
Super built-up  Area,Richmond Town,2230,4,4,0,"₹ 79,200,000.00"
Built-up  Area,Hebbal,1200,2,2,2,"₹ 5,200,000.00"
Super built-up  Area,Ramagondanahalli,1151,2,2,2,"₹ 4,360,000.00"
Super built-up  Area,Hulimavu,1320,2,3,2,"₹ 5,900,000.00"
Carpet  Area,Bikasipura,1450,3,3,2,"₹ 6,800,000.00"
Super built-up  Area,Poorna Pragna Layout,1270,2,3,3,"₹ 5,079,000.00"
Super built-up  Area,Hegde Nagar,1847,3,3,2,"₹ 12,300,000.00"
Super built-up  Area,Devanahalli,1020,2,1,1,"₹ 4,987,000.00"
Super built-up  Area,Somasundara Palya,1650,3,3,0,"₹ 9,500,000.00"
Super built-up  Area,Richmond Town,2380,4,4,3,"₹ 24,200,000.00"
Built-up  Area,Electronic City,2400,2,3,0,"₹ 7,800,000.00"
Super built-up  Area,Begur Road,1160,2,2,2,"₹ 4,400,000.00"
Super built-up  Area,Haralur Road,2805,4,4,3,"₹ 15,400,000.00"
Super built-up  Area,Mysore Road,1360,3,3,0,"₹ 4,760,000.00"
Super built-up  Area,Brookefield,1089,2,2,1,"₹ 4,900,000.00"
Super built-up  Area,Yelahanka,1115,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,Kudlu Gate,1215,2,2,1,"₹ 4,500,000.00"
Super built-up  Area,Sarjapur  Road,1194,2,2,1,"₹ 5,100,000.00"
Super built-up  Area,Kannamangala,1536,3,3,1,"₹ 10,400,000.00"
Super built-up  Area,Hennur,1255,2,2,2,"₹ 5,550,000.00"
Super built-up  Area,Electronic City,1571,3,3,2,"₹ 8,300,000.00"
Plot  Area,Virupakshapura,900,1,2,0,"₹ 7,000,000.00"
Super built-up  Area,Keshava Nagar,1517,2,2,2,"₹ 12,500,000.00"
Super built-up  Area,Budigere,664,1,1,1,"₹ 3,540,000.00"
Super built-up  Area, Devarachikkanahalli,1230,2,2,1,"₹ 5,800,000.00"
Super built-up  Area,Hegde Nagar,1340,2,2,2,"₹ 7,200,000.00"
Super built-up  Area,Attibele,1175,2,2,1,"₹ 2,938,000.00"
Plot  Area,Benson Town,3569,4,4,1,"₹ 60,000,000.00"
Super built-up  Area,Sarjapur,1240,2,2,2,"₹ 4,310,000.00"
Super built-up  Area,Electronic City,1470,2,3,1,"₹ 4,410,000.00"
Super built-up  Area,Kanakpura Road,525,,1,0,"₹ 2,925,000.00"
Super built-up  Area,7th Phase JP Nagar,1680,3,3,2,"₹ 11,700,000.00"
Super built-up  Area,Sri Sai Layout,1000,2,2,2,"₹ 3,500,000.00"
Super built-up  Area,Gunjur,1071,2,2,1,"₹ 5,100,000.00"
Super built-up  Area,Sector 2 HSR Layout,1512,3,3,0,"₹ 8,000,000.00"
Built-up  Area,Frazer Town,3435,2,4,1,"₹ 34,100,000.00"
Super built-up  Area,Thanisandra main road,3144,3,3,1,"₹ 45,500,000.00"
Built-up  Area,Kalyan nagar,1190,2,2,1,"₹ 6,000,000.00"
Super built-up  Area,Pattandur Agrahara,1550,2,3,3,"₹ 8,000,000.00"
Super built-up  Area,Kanakpura Road,1283,2,2,2,"₹ 6,322,000.00"
Built-up  Area,Mallasandra,1325,2,2,2,"₹ 7,300,000.00"
Super built-up  Area,Whitefield,1105,2,2,1,"₹ 3,536,000.00"
Super built-up  Area,Banaswadi,1600,3,3,2,"₹ 7,450,000.00"
Plot  Area,Devara Jeevanahalli,400,2,4,2,"₹ 3,500,000.00"
Super built-up  Area,Hennur,1100,2,2,1,"₹ 4,455,000.00"
Super built-up  Area,Talaghattapura,2099,3,3,3,"₹ 14,700,000.00"
Super built-up  Area,Yelachenahalli,1365,2,3,1,"₹ 7,200,000.00"
Super built-up  Area,Hebbal Kempapura,1485,3,2,3,"₹ 13,200,000.00"
Super built-up  Area,Hosur Road,1250,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Chikkalasandra,1290,2,3,2,"₹ 5,612,000.00"
Super built-up  Area,Bellandur,1170,2,2,1,"₹ 4,679,000.00"
Super built-up  Area,Kanakpura Road,1328,2,2,3,"₹ 9,106,000.00"
Super built-up  Area,Hennur Road,1232,2,2,1,"₹ 8,700,000.00"
Super built-up  Area,1st Phase JP Nagar,1180,2,2,2,"₹ 8,850,000.00"
Super built-up  Area,Electronic City,1350,3,3,2,"₹ 6,600,000.00"
Super built-up  Area,Nagawara Junction,3602,4,4,0,"₹ 28,000,000.00"
Super built-up  Area,Nagasandra,2400,4,4,1,"₹ 14,500,000.00"
Super built-up  Area,Electronic City Phase II,1020,2,2,2,"₹ 3,200,000.00"
Super built-up  Area,Begur Road,1410,2,3,3,"₹ 4,934,000.00"
Built-up  Area,Vishwanatha Nagenahalli,2159,3,3,2,"₹ 12,000,000.00"
Plot  Area,Anekal,1453,,#VALUE!,0,"₹ 1,650,000.00"
Super built-up  Area,TC Palaya,1200,2,3,0,"₹ 6,600,000.00"
Super built-up  Area,Hennur,1255,2,2,1,"₹ 5,750,000.00"
Super built-up  Area,Whitefield,1074,2,2,1,"₹ 4,279,000.00"
Plot  Area,Suragajakkanahalli,1200,3,3,2,"₹ 7,200,000.00"
Super built-up  Area,Sarjapur,1170,2,3,2,"₹ 3,541,000.00"
Super built-up  Area,Bommanahalli,1660,2,3,0,"₹ 10,000,000.00"
Plot  Area,Gattigere,900,6,5,1,"₹ 9,500,000.00"
Built-up  Area,SK Garden,1850,3,6,0,"₹ 17,500,000.00"
Built-up  Area,Gowdanapalya,510,1,1,0,"₹ 3,400,000.00"
Super built-up  Area,Mahadevpura,1601,3,3,2,"₹ 9,500,000.00"
Super built-up  Area,Begur Road,952,2,2,1,"₹ 4,200,000.00"
Super built-up  Area,PNS Layout,1166,2,2,3,"₹ 6,500,000.00"
Built-up  Area,Venkatapura,2700,2,3,1,"₹ 26,000,000.00"
Built-up  Area,Electronic City Phase II,1900,3,4,1,"₹ 9,700,000.00"
Plot  Area,Mathikere,1350,2,3,0,"₹ 17,500,000.00"
Super built-up  Area,Haralur Road,1520,2,3,2,"₹ 9,600,000.00"
Plot  Area,Harsha Layout,2100,6,4,3,"₹ 10,000,000.00"
Super built-up  Area,Yelenahalli,1175,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Bharathi Nagar,1432,2,2,2,"₹ 6,800,000.00"
Super built-up  Area,Bommasandra Industrial Area,1005,2,2,1,"₹ 3,977,000.00"
Super built-up  Area,Rajiv Nagar,1309,2,2,1,"₹ 8,000,000.00"
Super built-up  Area,Dairy Circle,2251,4,3,2,"₹ 37,000,000.00"
Super built-up  Area,7th Phase JP Nagar,1050,2,2,1,"₹ 7,700,000.00"
Super built-up  Area,Kanakpura Road,1100,3,3,2,"₹ 5,300,000.00"
Plot  Area,Sanjay nagar,2400,3,3,3,"₹ 31,000,000.00"
Super built-up  Area,Begur Road,1565,2,3,2,"₹ 5,634,000.00"
Built-up  Area,1st Stage Indira Nagar,940,2,2,1,"₹ 5,600,000.00"
Super built-up  Area,Yarandahalli,1015,2,2,1,"₹ 4,010,000.00"
Plot  Area,BTM 2nd Stage,2400,2,3,0,"₹ 36,000,000.00"
Super built-up  Area,Electronic City,1652,3,3,3,"₹ 11,000,000.00"
Super built-up  Area,Whitefield,1100,2,2,2,"₹ 5,200,000.00"
Super built-up  Area,Rajiv Nagar,2340,4,4,1,"₹ 14,500,000.00"
Super built-up  Area,Koramangala,1084,2,2,1,"₹ 17,900,000.00"
Plot  Area,Kammanahalli,1200,1,2,1,"₹ 8,100,000.00"
Super built-up  Area,Kacharakanahalli,1400,3,3,3,"₹ 6,900,000.00"
Plot  Area,HBR Layout,2400,5,4,0,"₹ 32,000,000.00"
Super built-up  Area,Electronic City Phase II,1020,2,2,1,"₹ 2,743,000.00"
Super built-up  Area,Whitefield,1267,2,2,1,"₹ 9,033,000.00"
Super built-up  Area,Bhoganhalli,2439,4,4,3,"₹ 18,500,000.00"
Built-up  Area,Ashwath Nagar,1645,3,3,0,"₹ 9,500,000.00"
Super built-up  Area,Sahakara Nagar,1100,2,3,2,"₹ 7,500,000.00"
Built-up  Area,Electronic City,1320,2,3,1,"₹ 3,812,000.00"
Super built-up  Area,Ananth Nagar,1000,2,2,1,"₹ 2,970,000.00"
Built-up  Area,Whitefield,5000,5,4,2,"₹ 55,000,000.00"
Built-up  Area,KR Puram,2500,6,6,3,"₹ 5,800,000.00"
Plot  Area,Kengeri Satellite Town,2480,2,2,1,"₹ 16,000,000.00"
Built-up  Area,Kalyan nagar,1086,2,2,2,"₹ 4,450,000.00"
Super built-up  Area,Kengeri,416,1,1,1,"₹ 1,800,000.00"
Built-up  Area,Hennur Road,1066,2,2,1,"₹ 5,223,000.00"
Super built-up  Area,OMBR Layout,1730,3,3,1,"₹ 9,300,000.00"
Super built-up  Area,Balagere,1205,2,2,1,"₹ 6,386,000.00"
Super built-up  Area,Marathahalli,2500,5,4,2,"₹ 17,500,000.00"
Super built-up  Area,Subramanyapura,960,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Haralur Road,1510,3,3,2,"₹ 8,305,000.00"
Built-up  Area,Kanaka Nagar,1600,4,4,2,"₹ 9,000,000.00"
Built-up  Area,Old Madras Road,2300,3,3,2,"₹ 14,200,000.00"
Built-up  Area,Jakkasandra Extension,1000,2,2,1,"₹ 6,300,000.00"
Super built-up  Area,Poorna Pragna Layout,1160,2,2,1,"₹ 4,639,000.00"
Super built-up  Area,Hormavu,1553,2,3,2,"₹ 5,823,000.00"
Super built-up  Area,Frazer Town,3436,5,4,0,"₹ 34,500,000.00"
Super built-up  Area,Seegehalli,1134,2,2,2,"₹ 4,500,000.00"
Plot  Area,Nagasandra,600,4,4,2,"₹ 8,000,000.00"
Plot  Area,Horamavu Agara,2400,3,5,3,"₹ 8,000,000.00"
Plot  Area,Whitefield,2400,4,4,1,"₹ 14,300,000.00"
Super built-up  Area,Nagashetty Halli,1350,2,2,2,"₹ 6,500,000.00"
Super built-up  Area,Sarjapur,1032,2,2,1,"₹ 4,200,000.00"
Super built-up  Area,Tigalarpalya,1998,3,3,2,"₹ 11,700,000.00"
Super built-up  Area,Murugeshpalya,1225,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Sarjapur  Road,1262,2,2,2,"₹ 6,700,000.00"
Super built-up  Area,Badavala Nagar,1842,3,3,2,"₹ 11,500,000.00"
Super built-up  Area,Thomas Town,1300,2,2,0,"₹ 6,000,000.00"
Super built-up  Area,Kothannur,1070,2,2,2,"₹ 3,860,000.00"
Built-up  Area,"Electronic city Phase 1, ",950,2,2,1,"₹ 3,300,000.00"
Super built-up  Area,Balagere,1012,2,2,1,"₹ 5,358,000.00"
Built-up  Area,TC Palaya,1000,2,2,0,"₹ 7,000,000.00"
Super built-up  Area,Kadugodi,1394,2,2,2,"₹ 5,600,000.00"
Super built-up  Area,Amruthahalli,1450,2,3,1,"₹ 8,500,000.00"
Super built-up  Area, Banaswadi,527,1,1,0,"₹ 3,500,000.00"
Super built-up  Area,Sarjapur  Road,1693,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Thigalarapalya,3122,6,4,2,"₹ 23,500,000.00"
Super built-up  Area,Horamavu Agara,1000,2,2,1,"₹ 4,600,000.00"
Built-up  Area,Kogilu,952,2,2,2,"₹ 4,900,000.00"
Super built-up  Area,Malleshwaram,2050,4,3,0,"₹ 27,000,000.00"
Super built-up  Area,Kengeri,1200,1,1,1,"₹ 1,400,000.00"
Super built-up  Area,Mysore Road,1410,2,3,2,"₹ 6,400,000.00"
Super built-up  Area,Hebbal Kempapura,1400,2,2,2,"₹ 10,800,000.00"
Plot  Area,Chikka Tirupathi,3056,5,4,0,"₹ 10,000,000.00"
Super built-up  Area,Sarjapur  Road,1826,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Hosur Road,1689,3,3,2,"₹ 10,300,000.00"
Super built-up  Area,Bisuvanahalli,1075,2,3,1,"₹ 3,100,000.00"
Super built-up  Area,Bannerghatta Road,2500,4,5,0,"₹ 140,000,000.00"
Super built-up  Area,Hennur,960,2,2,1,"₹ 4,800,000.00"
Built-up  Area,Channasandra,808,2,2,1,"₹ 4,000,000.00"
Super built-up  Area,Kodichikkanahalli,907,2,2,2,"₹ 3,850,000.00"
Super built-up  Area,Uttarahalli,1300,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,Sector 1 HSR Layout,1804,3,3,2,"₹ 15,000,000.00"
Super built-up  Area,Naidu Layout,1350,3,3,2,"₹ 8,100,000.00"
Super built-up  Area,Whitefield,1836,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Sugama Layout,826,2,2,2,"₹ 3,600,000.00"
Super built-up  Area,Hormavu,1200,2,2,3,"₹ 6,800,000.00"
Super built-up  Area,1st Block Koramangala,3000,3,4,3,"₹ 30,000,000.00"
Plot  Area,Indira Nagar,2400,4,4,2,"₹ 40,500,000.00"
Super built-up  Area,6th Phase JP Nagar,1460,2,2,0,"₹ 8,000,000.00"
Plot  Area,Hoskote,1200,4,4,3,"₹ 14,000,000.00"
Super built-up  Area,BTM 2nd Stage,965,2,2,2,"₹ 5,600,000.00"
Carpet  Area,Kothannur,2000,4,4,2,"₹ 9,500,000.00"
Super built-up  Area,Bhoganhalli,1395,2,3,2,"₹ 7,000,000.00"
Super built-up  Area,Sarjapur  Road,1660,3,3,2,"₹ 11,600,000.00"
Super built-up  Area,Kada Agrahara,935,2,2,2,"₹ 3,500,000.00"
Super built-up  Area,Hongasandra,1180,2,2,1,"₹ 3,900,000.00"
Built-up  Area,Electronic City,1090,2,2,1,"₹ 3,148,000.00"
Super built-up  Area,Kanakpura Road,1204,2,2,1,"₹ 8,200,000.00"
Super built-up  Area,Thigalarapalya,2072,4,3,2,"₹ 15,300,000.00"
Built-up  Area,Haralur Road,1056,2,2,1,"₹ 6,500,000.00"
Super built-up  Area,Hebbal,985,2,2,2,"₹ 6,200,000.00"
Super built-up  Area,Banashankari Stage V,1315,2,3,2,"₹ 4,900,000.00"
Built-up  Area,KR Puram,734,2,2,1,"₹ 2,200,000.00"
Built-up  Area,Kammanahalli,2900,4,4,2,"₹ 20,000,000.00"
Super built-up  Area,Yelahanka,2317,4,3,3,"₹ 14,000,000.00"
Built-up  Area,Singasandra,600,1,1,0,"₹ 4,500,000.00"
Built-up  Area,Vishwanatha Nagenahalli,2200,3,4,0,"₹ 11,500,000.00"
Super built-up  Area,Attibele,656,2,2,1,"₹ 2,500,000.00"
Built-up  Area,Attibele,400,1,1,1,"₹ 1,150,000.00"
Super built-up  Area,Yeshwanthpur,666,1,1,1,"₹ 3,680,000.00"
Plot  Area,Kadubeesanahalli,3293,5,4,2,"₹ 42,500,000.00"
Super built-up  Area,7th Phase JP Nagar,1174,2,2,1,"₹ 4,700,000.00"
Super built-up  Area,Budigere,1153,2,2,2,"₹ 5,670,000.00"
Plot  Area,Jalahalli,1000,4,4,1,"₹ 9,000,000.00"
Built-up  Area,Narayanapura,2400,5,5,2,"₹ 8,500,000.00"
Super built-up  Area,Marathahalli,957,2,2,1,"₹ 4,700,000.00"
Built-up  Area,Banashankari Stage III,910,2,2,2,"₹ 16,000,000.00"
Built-up  Area,Sarjapur  Road,1060,2,2,1,"₹ 5,000,000.00"
Super built-up  Area,Banashankari,1000,2,2,1,"₹ 5,000,000.00"
Super built-up  Area,Kanakpura Road,1843,3,3,2,"₹ 8,800,000.00"
Super built-up  Area,Kanakpura Road,1150,2,3,2,"₹ 4,025,000.00"
Super built-up  Area,Chandapura,1230,2,3,2,"₹ 3,137,000.00"
Super built-up  Area,Kodihalli,3197,5,4,2,"₹ 33,500,000.00"
Super built-up  Area,Kanakpura Road,1703,3,3,2,"₹ 13,000,000.00"
Super built-up  Area,Kaval Byrasandra,1125,2,2,1,"₹ 4,150,000.00"
Super built-up  Area,Battarahalli,1516,3,3,3,"₹ 6,500,000.00"
Super built-up  Area,Brookefield,1130,2,2,2,"₹ 5,600,000.00"
Super built-up  Area,Iblur Village,3596,5,4,1,"₹ 27,900,000.00"
Super built-up  Area,Hosa Road,1512,3,3,2,"₹ 10,300,000.00"
Built-up  Area,Thanisandra,1491,3,3,1,"₹ 8,800,000.00"
Super built-up  Area,Cox Town,1250,2,2,2,"₹ 9,500,000.00"
Super built-up  Area,Banashankari,1650,3,3,2,"₹ 9,075,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1140,2,2,1,"₹ 4,870,000.00"
Plot  Area,Behind Don Bosco Church,1200,4,4,1,"₹ 11,000,000.00"
Super built-up  Area,Thanisandra,1881,3,3,0,"₹ 9,500,000.00"
Super built-up  Area,Kanakpura Road,1100,3,3,2,"₹ 5,657,000.00"
